gene id,cluster,symbol,name,level,rank
50859,C1,SPOCK3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3",-,288
441151,C1,TMEM151B,transmembrane protein 151B,-,293
25830,C1,SULT4A1,"sulfotransferase family 4A, member 1",-,304
4185,C1,ADAM11,ADAM metallopeptidase domain 11,-,309
774,C1,CACNA1B,"calcium channel, voltage-dependent, N type, alpha 1B subunit",-,319
23349,C1,KIAA1045,KIAA1045,-,320
9479,C1,MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,-,326
1392,C1,CRH,corticotropin releasing hormone,-,328
53358,C1,SHC3,SHC (Src homology 2 domain containing) transforming protein 3,-,330
10690,C1,FUT9,"fucosyltransferase 9 (alpha (1,3) fucosyltransferase)",-,331
333,C1,APLP1,amyloid beta (A4) precursor-like protein 1,-,335
22848,C1,AAK1,AP2 associated kinase 1,-,337
8715,C1,NOL4,nucleolar protein 4,-,340
54551,C1,MAGEL2,MAGE-like 2,-,343
3897,C1,L1CAM,L1 cell adhesion molecule,-,345
3642,C1,INSM1,insulinoma-associated 1,-,347
10446,C1,LRRN2,leucine rich repeat neuronal 2,-,348
56934,C1,CA10,carbonic anhydrase X,-,359
9229,C1,DLGAP1,"discs, large (Drosophila) homolog-associated protein 1",-,363
157627,C1,LINC599,long intergenic non-protein coding RNA 599,-,372
9478,C1,CABP1,calcium binding protein 1,-,374
88,C1,ACTN2,"actinin, alpha 2",-,376
9362,C1,CPNE6,copine VI (neuronal),-,378
4826,C1,NNAT,neuronatin,-,382
5979,C1,RET,ret proto-oncogene,-,384
3757,C1,KCNH2,"potassium voltage-gated channel, subfamily H (eag-related), member 2",-,390
3899,C1,AFF3,"AF4/FMR2 family, member 3",-,393
2913,C1,GRM3,"glutamate receptor, metabotropic 3",-,399
5077,C1,PAX3,paired box 3,-,404
8851,C1,CDK5R1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)",-,406
4613,C1,MYCN,v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog,-,419
10215,C1,OLIG2,oligodendrocyte lineage transcription factor 2,-,420
30819,C1,KCNIP2,Kv channel interacting protein 2,-,426
6327,C1,SCN2B,"sodium channel, voltage-gated, type II, beta subunit",-,429
777,C1,CACNA1E,"calcium channel, voltage-dependent, R type, alpha 1E subunit",-,432
6014,C1,RIT2,Ras-like without CAAX 2,-,437
6900,C1,CNTN2,contactin 2 (axonal),-,438
64067,C1,NPAS3,neuronal PAS domain protein 3,-,442
26038,C1,CHD5,chromodomain helicase DNA binding protein 5,-,446
6804,C1,STX1A,syntaxin 1A (brain),E3,449
9956,C1,HS3ST2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,-,451
1005,C1,CDH7,"cadherin 7, type 2",-,454
5076,C1,PAX2,paired box 2,-,459
107,C1,ADCY1,adenylate cyclase 1 (brain),E3,466
1002,C1,CDH4,"cadherin 4, type 1, R-cadherin (retinal)",-,468
3746,C1,KCNC1,"potassium voltage-gated channel, Shaw-related subfamily, member 1",-,475
9379,C1,NRXN2,neurexin 2,E4,476
2290,C1,FOXG1,forkhead box G1,-,483
7067,C1,THRA,"thyroid hormone receptor, alpha",-,485
80003,C1,PCNXL2,pecanex-like 2 (Drosophila),-,486
9899,C1,SV2B,synaptic vesicle glycoprotein 2B,-,497
134,C1,ADORA1,adenosine A1 receptor,-,498
57338,C1,JPH3,junctophilin 3,-,503
5453,C1,POU3F1,POU class 3 homeobox 1,-,504
23302,C1,WSCD1,WSC domain containing 1,-,513
3766,C1,KCNJ10,"potassium inwardly-rectifying channel, subfamily J, member 10",-,518
11141,C1,IL1RAPL1,interleukin 1 receptor accessory protein-like 1,E3,519
5864,C1,RAB3A,"RAB3A, member RAS oncogene family",E4,520
2911,C1,GRM1,"glutamate receptor, metabotropic 1",E3,523
4661,C1,MYT1,myelin transcription factor 1,-,524
6334,C1,SCN8A,"sodium channel, voltage gated, type VIII, alpha subunit",-,529
887,C1,CCKBR,cholecystokinin B receptor,-,533
23187,C1,PHLDB1,"pleckstrin homology-like domain, family B, member 1",-,537
320,C1,APBA1,"amyloid beta (A4) precursor protein-binding, family A, member 1",-,539
2675,C1,GFRA2,GDNF family receptor alpha 2,-,546
2173,C1,FABP7,"fatty acid binding protein 7, brain",E3,563
8786,C1,RGS11,regulator of G-protein signaling 11,-,567
869,C1,CBLN1,cerebellin 1 precursor,-,569
3763,C1,KCNJ6,"potassium inwardly-rectifying channel, subfamily J, member 6",-,580
2830,C1,GPR6,G protein-coupled receptor 6,-,586
2785,C1,GNG3,"guanine nucleotide binding protein (G protein), gamma 3",-,591
11189,C1,CELF3,"CUGBP, Elav-like family member 3",-,607
3208,C1,HPCA,hippocalcin,-,614
22999,C1,RIMS1,regulating synaptic membrane exocytosis 1,-,622
782,C1,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",-,624
27330,C1,RPS6KA6,"ribosomal protein S6 kinase, 90kDa, polypeptide 6",-,637
56341,C1,PRMT8,protein arginine methyltransferase 8,-,642
199731,C1,CADM4,cell adhesion molecule 4,-,644
5454,C1,POU3F2,POU class 3 homeobox 2,-,653
1812,C1,DRD1,dopamine receptor D1,E3,662
2563,C1,GABRD,"gamma-aminobutyric acid (GABA) A receptor, delta",-,665
1961,C1,EGR4,early growth response 4,-,669
10297,C1,APC2,adenomatosis polyposis coli 2,-,671
814,C1,CAMK4,calcium/calmodulin-dependent protein kinase IV,-,673
51046,C1,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",-,674
9254,C1,CACNA2D2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",-,683
6853,C1,SYN1,synapsin I,E4,684
10612,C1,TRIM3,tripartite motif containing 3,-,686
6586,C1,SLIT3,slit homolog 3 (Drosophila),-,690
64137,C1,ABCG4,"ATP-binding cassette, sub-family G (WHITE), member 4",-,691
8646,C1,CHRD,chordin,-,697
1742,C1,DLG4,"discs, large homolog 4 (Drosophila)",-,707
55079,C1,FEZF2,FEZ family zinc finger 2,E4,712
2845,C1,GPR22,G protein-coupled receptor 22,-,721
6010,C1,RHO,rhodopsin,-,724
29106,C1,SCG3,secretogranin III,-,728
3786,C1,KCNQ3,"potassium voltage-gated channel, KQT-like subfamily, member 3",-,729
547,C1,KIF1A,kinesin family member 1A,-,743
80034,C1,CSRNP3,cysteine-serine-rich nuclear protein 3,E3,752
4986,C1,OPRK1,"opioid receptor, kappa 1",E3,764
4821,C1,NKX2-2,NK2 homeobox 2,-,771
27087,C1,B3GAT1,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)",-,781
29118,C1,DDX25,DEAD (Asp-Glu-Ala-Asp) box helicase 25,-,783
3232,C1,HOXD3,homeobox D3,-,785
25789,C1,TMEM59L,transmembrane protein 59-like,-,786
3777,C1,KCNK3,"potassium channel, subfamily K, member 3",-,792
79187,C1,FSD1,fibronectin type III and SPRY domain containing 1,-,809
51308,C1,REEP2,receptor accessory protein 2,-,812
6530,C1,SLC6A2,"solute carrier family 6 (neurotransmitter transporter), member 2",E3,813
375057,C1,C1orf95,chromosome 1 open reading frame 95,-,815
10683,C1,DLL3,delta-like 3 (Drosophila),-,816
3760,C1,KCNJ3,"potassium inwardly-rectifying channel, subfamily J, member 3",E3,838
9148,C1,NEURL1,neuralized E3 ubiquitin protein ligase 1,-,846
79969,C1,ATAT1,alpha tubulin acetyltransferase 1,-,858
153,C1,ADRB1,adrenoceptor beta 1,-,866
6750,C1,SST,somatostatin,-,869
53822,C1,FXYD7,FXYD domain containing ion transport regulator 7,-,876
26507,C1,CNNM1,cyclin M1,-,887
2901,C1,GRIK5,"glutamate receptor, ionotropic, kainate 5",-,890
9806,C1,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",-,901
10570,C1,DPYSL4,dihydropyrimidinase-like 4,-,912
478,C1,ATP1A3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",-,918
9427,C1,ECEL1,endothelin converting enzyme-like 1,-,920
5992,C1,RFX4,"regulatory factor X, 4 (influences HLA class II expression)",-,924
1113,C1,CHGA,chromogranin A (parathyroid secretory protein 1),-,945
10814,C1,CPLX2,complexin 2,E3,956
23467,C1,NPTXR,neuronal pentraxin receptor,-,960
79012,C1,CAMKV,CaM kinase-like vesicle-associated,-,968
2899,C1,GRIK3,"glutamate receptor, ionotropic, kainate 3",E3,976
29906,C1,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",-,977
5141,C1,PDE4A,"phosphodiesterase 4A, cAMP-specific",-,1000
8193,C1,DPF1,"D4, zinc and double PHD fingers family 1",-,1001
4062,C1,LY6H,"lymphocyte antigen 6 complex, locus H",-,1021
10633,C1,RASL10A,"RAS-like, family 10, member A",-,1022
7480,C1,WNT10B,"wingless-type MMTV integration site family, member 10B",-,1030
105,C1,ADARB2,"adenosine deaminase, RNA-specific, B2 (non-functional)",-,1031
3765,C1,KCNJ9,"potassium inwardly-rectifying channel, subfamily J, member 9",-,1043
8739,C1,HRK,"harakiri, BCL2 interacting protein (contains only BH3 domain)",-,1059
286,C1,ANK1,"ankyrin 1, erythrocytic",-,1060
3752,C1,KCND3,"potassium voltage-gated channel, Shal-related subfamily, member 3",-,1062
79953,C1,SYNDIG1,synapse differentiation inducing 1,-,1073
7275,C1,TUB,tubby bipartite transcription factor,E3,1090
9796,C1,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein,-,1097
26220,C1,DGCR5,DiGeorge syndrome critical region gene 5 (non-protein coding),-,1098
10369,C1,CACNG2,"calcium channel, voltage-dependent, gamma subunit 2",-,1099
85352,C1,KIAA1644,KIAA1644,-,1102
10858,C1,CYP46A1,"cytochrome P450, family 46, subfamily A, polypeptide 1",-,1106
166614,C1,DCLK2,doublecortin-like kinase 2,E3,1107
8128,C1,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",E3,1119
27165,C1,GLS2,"glutaminase 2 (liver, mitochondrial)",-,1148
2918,C1,GRM8,"glutamate receptor, metabotropic 8",E3,1152
9715,C1,FAM131B,"family with sequence similarity 131, member B",-,1155
6656,C1,SOX1,SRY (sex determining region Y)-box 1,-,1158
23245,C1,ASTN2,astrotactin 2,E2,1161
63827,C1,BCAN,brevican,-,1186
5909,C1,RAP1GAP,RAP1 GTPase activating protein,-,1195
23457,C1,ABCB9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",-,1197
440073,C1,IQSEC3,IQ motif and Sec7 domain 3,-,1201
2020,C1,EN2,engrailed homeobox 2,E3,1204
9542,C1,NRG2,neuregulin 2,-,1205
22891,C1,ZNF365,zinc finger protein 365,-,1209
4858,C1,NOVA2,neuro-oncological ventral antigen 2,-,1217
1271,C1,CNTFR,ciliary neurotrophic factor receptor,-,1219
6620,C1,SNCB,"synuclein, beta",-,1222
57731,C1,SPTBN4,"spectrin, beta, non-erythrocytic 4",-,1223
2039,C1,DMTN,dematin actin binding protein,-,1226
140730,C1,RIMS4,regulating synaptic membrane exocytosis 4,-,1229
1746,C1,DLX2,distal-less homeobox 2,E3,1235
10882,C1,C1QL1,"complement component 1, q subcomponent-like 1",-,1238
11255,C1,HRH3,histamine receptor H3,-,1240
758,C1,MPPED1,metallophosphoesterase domain containing 1,-,1241
7425,C1,VGF,VGF nerve growth factor inducible,E3,1243
5798,C1,PTPRN,"protein tyrosine phosphatase, receptor type, N",-,1248
9751,C1,SNPH,syntaphilin,-,1251
5600,C1,MAPK11,mitogen-activated protein kinase 11,-,1258
9256,C1,BZRAP1,benzodiazapine receptor (peripheral) associated protein 1,E3,1262
43,C1,ACHE,acetylcholinesterase,-,1266
55753,C1,OGDHL,oxoglutarate dehydrogenase-like,-,1272
27112,C1,FAM155B,"family with sequence similarity 155, member B",-,1276
5582,C1,PRKCG,"protein kinase C, gamma",-,1280
9363,C1,RAB33A,"RAB33A, member RAS oncogene family",-,1285
8224,C1,SYN3,synapsin III,-,1286
3754,C1,KCNF1,"potassium voltage-gated channel, subfamily F, member 1",-,1291
5596,C1,MAPK4,mitogen-activated protein kinase 4,-,1300
1298,C1,COL9A2,"collagen, type IX, alpha 2",-,1311
201191,C1,SAMD14,sterile alpha motif domain containing 14,-,1321
7434,C1,VIPR2,vasoactive intestinal peptide receptor 2,-,1327
1258,C1,CNGB1,cyclic nucleotide gated channel beta 1,-,1330
11178,C1,LZTS1,"leucine zipper, putative tumor suppressor 1",-,1336
51617,C1,HMP19,HMP19 protein,-,1338
10893,C1,MMP24,matrix metallopeptidase 24 (membrane-inserted),-,1343
1995,C1,ELAVL3,ELAV like neuron-specific RNA binding protein 3,-,1345
9312,C1,KCNB2,"potassium voltage-gated channel, Shab-related subfamily, member 2",-,1346
482,C1,ATP1B2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",-,1377
27092,C1,CACNG4,"calcium channel, voltage-dependent, gamma subunit 4",-,1407
8938,C1,BAIAP3,BAI1-associated protein 3,-,1417
2912,C1,GRM2,"glutamate receptor, metabotropic 2",-,1421
79570,C1,NKAIN1,Na+/K+ transporting ATPase interacting 1,-,1422
2840,C1,GPR17,G protein-coupled receptor 17,-,1423
94032,C1,CAMK2N2,calcium/calmodulin-dependent protein kinase II inhibitor 2,-,1433
3742,C1,KCNA6,"potassium voltage-gated channel, shaker-related subfamily, member 6",-,1437
4440,C1,MSI1,musashi RNA-binding protein 1,-,1444
1412,C1,CRYBA2,"crystallin, beta A2",-,1450
9024,C1,BRSK2,BR serine/threonine kinase 2,-,1458
1838,C1,DTNB,"dystrobrevin, beta",-,1460
104,C1,ADARB1,"adenosine deaminase, RNA-specific, B1",-,1464
84249,C1,PSD2,pleckstrin and Sec7 domain containing 2,-,1471
4744,C1,NEFH,"neurofilament, heavy polypeptide",-,1474
9480,C1,ONECUT2,one cut homeobox 2,-,1475
3361,C1,HTR5A,"5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled",E3,1507
6663,C1,SOX10,SRY (sex determining region Y)-box 10,-,1510
9495,C1,AKAP5,A kinase (PRKA) anchor protein 5,-,1517
23025,C1,UNC13A,unc-13 homolog A (C. elegans),-,1521
1908,C1,EDN3,endothelin 3,-,1522
5662,C1,PSD,pleckstrin and Sec7 domain containing,-,1526
3363,C1,HTR7,"5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled",E3,1529
22844,C1,FRMPD1,FERM and PDZ domain containing 1,-,1545
1137,C1,CHRNA4,"cholinergic receptor, nicotinic, alpha 4 (neuronal)",E3,1580
1101,C1,CHAD,chondroadherin,-,1584
4135,C1,MAP6,microtubule-associated protein 6,-,1601
762,C1,CA4,carbonic anhydrase IV,-,1617
80725,C1,SRCIN1,SRC kinase signaling inhibitor 1,-,1623
2977,C1,GUCY1A2,"guanylate cyclase 1, soluble, alpha 2",-,1629
56125,C1,PCDHB11,protocadherin beta 11,-,1630
4308,C1,TRPM1,"transient receptor potential cation channel, subfamily M, member 1",-,1635
196403,C1,DTX3,deltex homolog 3 (Drosophila),-,1639
9671,C1,WSCD2,WSC domain containing 2,-,1643
8448,C1,DOC2A,"double C2-like domains, alpha",E3,1649
23359,C1,FAM189A1,"family with sequence similarity 189, member A1",-,1654
1139,C1,CHRNA7,"cholinergic receptor, nicotinic, alpha 7 (neuronal)",E2,1657
1608,C1,DGKG,"diacylglycerol kinase, gamma 90kDa",-,1661
885,C1,CCK,cholecystokinin,E3,1662
3350,C1,HTR1A,"5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled",E3,1672
64714,C1,PDIA2,"protein disulfide isomerase family A, member 2",-,1675
55220,C1,KLHDC8A,kelch domain containing 8A,-,1680
119,C1,ADD2,adducin 2 (beta),-,1685
23316,C1,CUX2,cut-like homeobox 2,E3,1698
23148,C1,NACAD,NAC alpha domain containing,-,1703
51764,C1,GNG13,"guanine nucleotide binding protein (G protein), gamma 13",-,1713
5502,C1,PPP1R1A,"protein phosphatase 1, regulatory (inhibitor) subunit 1A",-,1714
190,C1,NR0B1,"nuclear receptor subfamily 0, group B, member 1",-,1715
56899,C1,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,-,1720
56139,C1,PCDHA10,protocadherin alpha 10,-,1723
27344,C1,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,-,1738
6496,C1,SIX3,SIX homeobox 3,-,1742
51195,C1,RAPGEFL1,Rap guanine nucleotide exchange factor (GEF)-like 1,-,1751
3706,C1,ITPKA,inositol-trisphosphate 3-kinase A,-,1752
55512,C1,SMPD3,"sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)",-,1755
6344,C1,SCTR,secretin receptor,-,1756
81796,C1,SLCO5A1,"solute carrier organic anion transporter family, member 5A1",-,1759
56978,C1,PRDM8,PR domain containing 8,-,1761
51341,C1,ZBTB7A,zinc finger and BTB domain containing 7A,-,1762
4294,C1,MAP3K10,mitogen-activated protein kinase kinase kinase 10,-,1767
23046,C1,KIF21B,kinesin family member 21B,-,1781
92154,C1,MTSS1L,metastasis suppressor 1-like,-,1785
5153,C1,PDE1B,"phosphodiesterase 1B, calmodulin-dependent",-,1791
8541,C1,PPFIA3,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3",-,1813
89853,C1,MVB12B,multivesicular body subunit 12B,-,1816
5413,C1,5-Sep,septin 5,-,1818
2016,C1,EMX1,empty spiracles homeobox 1,-,1823
1944,C1,EFNA3,ephrin-A3,-,1834
57348,C1,TTYH1,tweety family member 1,-,1843
6569,C1,SLC34A1,"solute carrier family 34 (type II sodium/phosphate contransporter), member 1",-,1855
4435,C1,CITED1,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1",-,1867
116986,C1,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",-,1884
54805,C1,CNNM2,cyclin M2,-,1900
114,C1,ADCY8,adenylate cyclase 8 (brain),-,1906
192683,C1,SCAMP5,secretory carrier membrane protein 5,E4,1910
50632,C1,CALY,calcyon neuron-specific vesicular protein,-,1915
3782,C1,KCNN3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",E3,1924
3768,C1,KCNJ12,"potassium inwardly-rectifying channel, subfamily J, member 12",-,1925
3975,C1,LHX1,LIM homeobox 1,-,1926
27239,C1,GPR162,G protein-coupled receptor 162,-,1934
1381,C1,CRABP1,cellular retinoic acid binding protein 1,-,1936
51286,C1,CEND1,cell cycle exit and neuronal differentiation 1,-,1944
55118,C1,CRTAC1,cartilage acidic protein 1,-,1963
25822,C1,DNAJB5,"DnaJ (Hsp40) homolog, subfamily B, member 5",-,1967
3218,C1,HOXB8,homeobox B8,-,1971
4504,C1,MT3,metallothionein 3,-,1972
5456,C1,POU3F4,POU class 3 homeobox 4,-,2002
2847,C1,MCHR1,melanin-concentrating hormone receptor 1,E3,2005
1032,C1,CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",-,2011
9001,C1,HAP1,huntingtin-associated protein 1,-,2028
9028,C1,RHBDL1,"rhomboid, veinlet-like 1 (Drosophila)",-,2031
5081,C1,PAX7,paired box 7,-,2033
6658,C1,SOX3,SRY (sex determining region Y)-box 3,-,2042
579,C1,NKX3-2,NK3 homeobox 2,-,2048
6899,C1,TBX1,T-box 1,E3,2049
9468,C1,PCYT1B,"phosphate cytidylyltransferase 1, choline, beta",-,2058
11076,C1,TPPP,tubulin polymerization promoting protein,-,2067
6886,C1,TAL1,T-cell acute lymphocytic leukemia 1,-,2070
51310,C1,SLC22A17,"solute carrier family 22, member 17",-,2081
2693,C1,GHSR,growth hormone secretagogue receptor,E3,2085
9758,C1,FRMPD4,FERM and PDZ domain containing 4,-,2091
115703,C1,ARHGAP33,Rho GTPase activating protein 33,-,2092
7087,C1,ICAM5,"intercellular adhesion molecule 5, telencephalin",-,2093
5950,C1,RBP4,"retinol binding protein 4, plasma",-,2097
11166,C1,SOX21,SRY (sex determining region Y)-box 21,-,2110
79825,C1,EFCC1,EF-hand and coiled-coil domain containing 1,-,2111
8497,C1,PPFIA4,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4",-,2142
25759,C1,SHC2,SHC (Src homology 2 domain containing) transforming protein 2,-,2147
78997,C1,GDAP1L1,ganglioside induced differentiation associated protein 1-like 1,-,2157
54039,C1,PCBP3,poly(rC) binding protein 3,-,2163
5463,C1,POU6F1,POU class 6 homeobox 1,-,2177
1592,C1,CYP26A1,"cytochrome P450, family 26, subfamily A, polypeptide 1",-,2181
283212,C1,KLHL35,kelch-like family member 35,-,2185
51214,C1,IGF2-AS,IGF2 antisense RNA,-,2186
9746,C1,CLSTN3,calsyntenin 3,-,2187
27012,C1,KCNV1,"potassium channel, subfamily V, member 1",-,2188
23552,C1,CDK20,cyclin-dependent kinase 20,-,2190
3362,C1,HTR6,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled",E3,2191
3235,C1,HOXD9,homeobox D9,-,2201
253559,C1,CADM2,cell adhesion molecule 2,-,2229
6714,C1,SRC,v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog,-,2241
883,C1,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",-,2244
5646,C1,PRSS3,"protease, serine, 3",-,2252
57453,C1,DSCAML1,Down syndrome cell adhesion molecule like 1,-,2267
27022,C1,FOXD3,forkhead box D3,-,2272
3749,C1,KCNC4,"potassium voltage-gated channel, Shaw-related subfamily, member 4",-,2276
2321,C1,FLT1,fms-related tyrosine kinase 1,E4,2278
4654,C1,MYOD1,myogenic differentiation 1,-,2280
745,C1,MYRF,myelin regulatory factor,-,2286
6710,C1,SPTB,"spectrin, beta, erythrocytic",-,2288
4908,C1,NTF3,neurotrophin 3,E3,2294
7200,C1,TRH,thyrotropin-releasing hormone,-,2296
266727,C1,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,-,2315
57476,C1,GRAMD1B,GRAM domain containing 1B,-,2329
